"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R5","5.1k","Top","RES_0402","90.0000","89.4250","0","Resistor SMD 0402"
"R4","5.1k","Top","RES_0402","94.7750","89.3750","0","Resistor SMD 0402"
"D1","D_TVS_0402","Top","D_0402","97.9250","89.9500","90","Diode TVS / ESD 0402"
"R3","10k","Top","RES_0402","90.4750","68.6750","180","Resistor SMD 0402"
"J3","RH_Connector","Top","CONN_SD-42375-001_M320_12_MOL","110.8710","81.2800","90",""
"J2","LH_Connector","Top","CONN_SD-42375-001_M320_12_MOL","81.7880","81.1530","90",""
"X1","24MHz","Top","XTAL_3225","91.8750","74.7000","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U2","STM32F042G6U6","Top","STM-UFQFPN28_V","93.3450","82.1690","90","ARM Cortex-M0 32-bit MCU, 32 KB Flash, 6 KB Internal RAM, 24 I/Os, 28-Pin UFQFPN, -40 to 85 degC, Tray"
"U1","AMS1117-3.3","Top","FP-AMS1117-IPC_C","102.7430","90.6780","270","LDO Voltage Regulators 1A, 3.3V"
"S2","","Top","SW_TS-1088-AR02016","100.6000","65.6250","180","50mA 4mm 100MΩ 100,000 Times 12V 160gf 3mm 2mm Round Button Vertical welding SPST SMD Tactile Switches ROHS"
"S1","","Top","SW_TS-1088-AR02016","90.5500","65.6750","0","50mA 4mm 100MΩ 100,000 Times 12V 160gf 3mm 2mm Round Button Vertical welding SPST SMD Tactile Switches ROHS"
"R2","0","Top","RES_0402","92.9000","78.2500","270","Resistor SMD 0402"
"R1","1k","Top","RES_0402","98.6710","85.7250","180","Resistor SMD 0402"
"C9","100n","Top","CAP_0402","100.5250","68.7000","180","Capacitor SMD 0402"
"DS1","LED_GREEN","Top","EVRL-0603-2_V","98.6710","84.2010","0","Chip LED, Yellow, 5 V, 25mA, -40 to 85 degC, 2-Pin SMD (0603), RoHS, Tape and Reel"
"J1","TYPE-C-31-M-12","Top","TYPE-C-31-M-12","92.7750","95.5000","180","USB Type C Connector Horizontal SMT"
"C8","10p","Top","CAP_0402","95.1000","74.5750","90","Capacitor SMD 0402"
"C7","10p","Top","CAP_0402","88.5750","74.6750","270","Capacitor SMD 0402"
"C6","22u","Top","CAP_0805","103.4430","85.3000","180","Capacitor SMD 0805"
"C5","22u","Top","CAP_0805","104.0930","96.4250","180","Capacitor SMD 0805"
"C4","100n","Top","CAP_0402","94.9500","77.9250","90","Capacitor SMD 0402"
"C3","100n","Top","CAP_0402","95.4750","86.1000","270","Capacitor SMD 0402"
"C2","100n","Top","CAP_0402","93.7750","86.0750","270","Capacitor SMD 0402"
"C1","10u","Top","CAP_0603","97.0250","77.8000","90","Capacitor SMD 0603"
