Comment,Description,Designator,Footprint,LibRef,Quantity
"10u","Capacitor SMD 0603","C1","CAP_0603","CAP_0603","1"
"100n","Capacitor SMD 0402","C2, C3, C4, C9","CAP_0402","CAP_0402","4"
"22u","Capacitor SMD 0805","C5, C6","CAP_0805","CAP_0805","2"
"10p","Capacitor SMD 0402","C7, C8","CAP_0402","CAP_0402","2"
"D_TVS_0402","Diode TVS / ESD 0402","D1","D_0402","D_TVS_0402","1"
"LED_GREEN","Chip LED, Yellow, 5 V, 25mA, -40 to 85 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS1","EVRL-0603-2_V","CMP-007-00005-2","1"
"TYPE-C-31-M-12","USB Type C Connector Horizontal SMT","J1","TYPE-C-31-M-12","TYPE-C-31-M-12","1"
"LH_Connector","","J2","CONN_SD-42375-001_M320_12_MOL","CMP-011-000000-1","1"
"RH_Connector","","J3","CONN_SD-42375-001_M320_12_MOL","CMP-011-000000-1","1"
"1k","Resistor SMD 0402","R1","RES_0402","RES_0402","1"
"0","Resistor SMD 0402","R2","RES_0402","RES_0402","1"
"10k","Resistor SMD 0402","R3","RES_0402","RES_0402","1"
"5.1k","Resistor SMD 0402","R4, R5","RES_0402","RES_0402","2"
"","50mA 4mm 100MΩ 100,000 Times 12V 160gf 3mm 2mm Round Button Vertical welding SPST SMD Tactile Switches ROHS","S1, S2","SW_TS-1088-AR02016","CMP-005-000000-1","2"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U1","FP-AMS1117-IPC_C","CMP-209535-000001-1","1"
"STM32F042G6U6","ARM Cortex-M0 32-bit MCU, 32 KB Flash, 6 KB Internal RAM, 24 I/Os, 28-Pin UFQFPN, -40 to 85 degC, Tray","U2","STM-UFQFPN28_V","CMP-0304-00112-2","1"
"24MHz","Crystal SMD 24MHz 10PPM 7pF 3225","X1","XTAL_3225","TSX-3225_24.0000MF15X-AC","1"
